mysql> SELECT city, province, LOWER(country), postalCode FROM Address ORDER BY country DESC;
+----------------------------------+--------------------------------+----------------------------------------------+------------+
| city                             | province                       | LOWER(country)                               | postalCode |
| Tucson                           | Arizona                        | slovakia                                     | 28538      |
| Shawinigan                       | QC                             | slovakia                                     | 53967      |
| Laken                            | BU                             | slovakia                                     | 74103      |
| Duisburg                         | NW                             | slovakia                                     | 62018-885  |
| Galway                           | Connacht                       | slovakia                                     | 95336      |
| Blue Mountains                   | NSW                            | slovakia                                     | 78703      |
| Cinco Esquinas                   | San José                       | slovakia                                     | 12374      |
| Las Vegas                        | Nevada                         | slovakia                                     | 77461-038  |
| Berlin                           | Berlin                         | slovakia                                     | 9569       |
| Orlando                          | Florida                        | slovakia                                     | 5448       |
| Legal                            | AB                             | sint maarten                                 | 00747-470  |
| Albagiara                        | Sardegna                       | sint maarten                                 | 3077       |
| Bydgoszcz                        | KP                             | sint maarten                                 | 416269     |
| Madison                          | Wisconsin                      | sint maarten                                 | 935655     |
| Knighton                         | RA                             | sint maarten                                 | 39268-457  |
| Casciana Terme                   | Toscana                        | sint maarten                                 | 45703      |
| Delhi                            | DL                             | singapore                                    | 4684       |
| Neder-Over-Heembeek              | Brussels Hoofdstedelijk Gewest | singapore                                    | 38998      |
| Osasco                           | São Paulo                      | singapore                                    | 83973      |
| Bremen                           | Bremen                         | singapore                                    | 58879      |
| Vienna                           | Vienna                         | singapore                                    | 66-200     |
| Jalna                            | Maharastra                     | singapore                                    | 9023       |
| Mandya                           | KA                             | singapore                                    | 91554      |
| Schifferstadt                    | RP                             | sierra leone                                 | 769709     |
| Aurora                           | CO                             | sierra leone                                 | 42180      |
| Norman                           | OK                             | sierra leone                                 | 56130      |
| Kalisz                           | WP                             | sierra leone                                 | 154566     |
| Goes                             | Zl                             | sierra leone                                 | 17200      |
| San José de Alajuela             | Alajuela                       | sierra leone                                 | 26419      |
| Veere                            | Zeeland                        | sierra leone                                 | 7724       |
| Massello                         | Piemonte                       | seychelles                                   | 34435      |
| Castelló                         | Comunitat Valenciana           | seychelles                                   | 2813       |
| Diadema                          | SP                             | seychelles                                   | 68291      |
| Meppel                           | Dr                             | seychelles                                   | 64146-045  |
| San Vicente                      | San José                       | seychelles                                   | 5228       |
| Kolhapur                         | Maharastra                     | seychelles                                   | 2873       |
| Barghe                           | LOM                            | seychelles                                   | E1C 6V4    |
| Ghaziabad                        | Uttar Pradesh                  | seychelles                                   | 61052      |
| Dublin                           | L                              | seychelles                                   | DA7 5JZ    |
| Karacabey                        | Bur                            | seychelles                                   | 71466      |
| Acquafondata                     | Lazio                          | seychelles                                   | 7984       |
| Miraj                            | Maharastra                     | seychelles                                   | S5T 0V5    |
| Delta                            | BC                             | seychelles                                   | 9618       |
| Ravenstein                       | Noord Brabant                  | serbia                                       | 68856      |
| Huntsville                       | Alabama                        | serbia                                       | 4296       |
| Oviedo                           | AS                             | serbia                                       | 525297     |
| Pollena Trocchia                 | Campania                       | serbia                                       | 1635       |
| Cuddalore                        | Tamil Nadu                     | serbia                                       | 47150-169  |
| Crieff                           | Perthshire                     | serbia                                       | A4K 2B7    |
| Cassano Spinola                  | Piemonte                       | serbia                                       | 326886     |
| Boise                            | Idaho                          | serbia                                       | 2214       |
| Guarulhos                        | SP                             | serbia                                       | 8231       |
| Vienna                           | Wie                            | senegal                                      | 49119      |
| Pagazzano                        | Lombardia                      | senegal                                      | 60501      |
| Kulti-Barakar                    | West Bengal                    | senegal                                      | 49842      |
| Berlin                           | BE                             | senegal                                      | 95140      |
| Bergerac                         | Aquitaine                      | senegal                                      | 31614      |
| Gibsons                          | British Columbia               | senegal                                      | 98842      |
| Sint-Gillis-bij-Dendermonde      | OV                             | senegal                                      | 1617       |
| Des Moines                       | IA                             | senegal                                      | OF7H 9CL   |
| Ankara                           | Ankara                         | senegal                                      | 4364TE     |
| Mogi das Cruzes                  | São Paulo                      | senegal                                      | 8405UO     |
| Pitlochry                        | Perthshire                     | senegal                                      | 71962-462  |
| Whakatane                        | North Island                   | senegal                                      | 46-895     |
| Lagos                            | Lagos                          | saudi arabia                                 | 00044      |
| Eugene                           | Oregon                         | saudi arabia                                 | 94491      |
| Mâcon                            | Bourgogne                      | saudi arabia                                 | 41401      |
| Munger                           | Bihar                          | sao tome and principe                        | 9985       |
| Istanbul                         | Istanbul                       | sao tome and principe                        | 34364      |
| Wierde                           | NA                             | sao tome and principe                        | E04 6FJ    |
| Goiânia                          | GO                             | sao tome and principe                        | 1054VZ     |
| Thurso                           | CA                             | sao tome and principe                        | 57186      |
| Lethbridge                       | AB                             | sao tome and principe                        | 67744      |
| Anderlecht                       | BU                             | sao tome and principe                        | 66-168     |
| Flushing                         | Zl                             | sao tome and principe                        | 6748       |
| Sokoto                           | Sokoto                         | san marino                                   | 874607     |
| Levin                            | North Island                   | san marino                                   | 5388       |
| Huesca                           | Aragón                         | san marino                                   | 1167       |
| Subiaco                          | WA                             | san marino                                   | Q6 1BB     |
| Alanya                           | Antalya                        | san marino                                   | 21708-648  |
| Kinross                          | KR                             | san marino                                   | 44561      |
| Waalwijk                         | N.                             | san marino                                   | 70155      |
| Roosendaal                       | Noord Brabant                  | san marino                                   | 840957     |
| Broken Arrow                     | OK                             | san marino                                   | 9275JU     |
| Redcliffe                        | QLD                            | san marino                                   | 80077      |
| Châteauroux                      | CE                             | san marino                                   | J1Z 9G8    |
| Rutland                          | VT                             | samoa                                        | W00 5AE    |
| Ch?telet                         | HE                             | samoa                                        | 16-423     |
| Masterton                        | North Island                   | samoa                                        | 703585     |
| Pike Creek                       | DE                             | samoa                                        | 873298     |
| Laramie                          | Wyoming                        | samoa                                        | 8676       |
| Bremen                           | HB                             | saint vincent and the grenadines             | 4383       |
| Merksplas                        | Antwerpen                      | saint vincent and the grenadines             | 1588       |
| Sandy                            | Bedfordshire                   | saint vincent and the grenadines             | 9818       |
| Berlin                           | Berlin                         | saint pierre and miquelon                    | 05695-484  |
| Legnica                          | DS                             | saint pierre and miquelon                    | 50986      |
| Roosendaal                       | Noord Brabant                  | saint pierre and miquelon                    | 387427     |
| Kailua                           | HI                             | saint pierre and miquelon                    | 53536      |
| Butte                            | Montana                        | saint pierre and miquelon                    | 29-145     |
| Picton                           | South Island                   | saint pierre and miquelon                    | 70816      |
| Madrid                           | Madrid                         | saint pierre and miquelon                    | 31654      |
| Purmerend                        | Noord Holland                  | saint pierre and miquelon                    | 20450      |
| Campbelltown                     | NSW                            | saint pierre and miquelon                    | 8614       |
| Gisborne                         | NI                             | saint martin                                 | 34-453     |
| Limelette                        | Waals-Brabant                  | saint martin                                 | 41615      |
| Beausejour                       | Manitoba                       | saint martin                                 | 02342-852  |
| Bonvicino                        | PIE                            | saint martin                                 | 2139       |
| LaSalle                          | Ontario                        | saint martin                                 | 45399      |
| Sabadell                         | CA                             | saint martin                                 | 54583      |
| Augusta                          | Maine                          | saint martin                                 | 6232       |
| West Jordan                      | Utah                           | saint lucia                                  | 56452      |
| Port Pirie                       | South Australia                | saint lucia                                  | 680429     |
| Córdoba                          | AN                             | saint lucia                                  | 15436-467  |
| Berlin                           | BE                             | saint lucia                                  | 9613       |
| Canberra                         | Australian Capital Territory   | saint lucia                                  | 22-606     |
| Waiuku                           | North Island                   | saint lucia                                  | 85079      |
| P?ock                            | Mazowieckie                    | saint lucia                                  | 92066      |
| Kapiti                           | NI                             | saint lucia                                  | 8693       |
| Bath                             | ON                             | saint lucia                                  | 304555     |
| Weyburn                          | Saskatchewan                   | saint lucia                                  | 47338-058  |
| Coldstream                       | BC                             | saint lucia                                  | 86232      |
| Alma                             | Quebec                         | saint kitts and nevis                        | 330128     |
| Strasbourg                       | Alsace                         | saint kitts and nevis                        | 1624       |
| Poitiers                         | PO                             | saint kitts and nevis                        | 03114      |
| Satara                           | Maharastra                     | saint kitts and nevis                        | K9Y 5B2    |
| Las Palmas                       | Canarias                       | saint kitts and nevis                        | 5300NV     |
| Polatl?                          | Ank                            | saint kitts and nevis                        | 46125      |
| Otranto                          | Puglia                         | saint kitts and nevis                        | 8537       |
| Temuka                           | South Island                   | saint kitts and nevis                        | 85410      |
| Albagiara                        | Sardegna                       | saint kitts and nevis                        | 04092      |
| Scalloway                        | Shetland                       | saint kitts and nevis                        | 34529      |
| Uberlândia                       | MG                             | saint kitts and nevis                        | 36701840   |
| Angoulême                        | PO                             | saint kitts and nevis                        | 60411      |
| Jauchelette                      | WB                             | saint helena, ascension and tristan da cunha | 09787      |
| Dublin                           | Leinster                       | saint helena, ascension and tristan da cunha | 199974     |
| La Baie                          | QC                             | saint helena, ascension and tristan da cunha | 5955       |
| Solihull                         | WA                             | saint helena, ascension and tristan da cunha | 8307GC     |
| Ijebu Ode                        | OG                             | saint helena, ascension and tristan da cunha | 31500      |
| Chandler                         | AZ                             | saint helena, ascension and tristan da cunha | 953447     |
| San Miguel                       | San José                       | saint helena, ascension and tristan da cunha | 48370      |
| Paderborn                        | NW                             | saint helena, ascension and tristan da cunha | 725660     |
| Bonnyville                       | AB                             | saint helena, ascension and tristan da cunha | 931407     |
| Berlin                           | BE                             | saint helena, ascension and tristan da cunha | 10117      |
| Istanbul                         | Ist                            | saint helena, ascension and tristan da cunha | 21003      |
| Montague                         | Prince Edward Island           | saint helena, ascension and tristan da cunha | WA20 4BL   |
| Oamaru                           | SI                             | saint helena, ascension and tristan da cunha | 746001     |
| Palmerston                       | NT                             | saint helena, ascension and tristan da cunha | 134341     |
| Tullibody                        | Clackmannanshire               | saint helena, ascension and tristan da cunha | 0619       |
| Belgrave                         | VIC                            | saint helena, ascension and tristan da cunha | 4577       |
| Santa Coloma de Gramenet         | CA                             | saint barthélemy                             | 57130      |
| Patna                            | Bihar                          | saint barthélemy                             | 7728       |
| Melton                           | Victoria                       | saint barthélemy                             | 0712TO     |
| Gary                             | IN                             | saint barthélemy                             | 5777       |
| Casperia                         | Lazio                          | saint barthélemy                             | 56858      |
| Chapadinha                       | MA                             | saint barthélemy                             | 71878      |
| Samsun                           | Samsun                         | saint barthélemy                             | 40313      |
| Tampa                            | FL                             | saint barthélemy                             | 84630      |
| New Glasgow                      | Nova Scotia                    | rwanda                                       | 5631       |
| Duncan                           | British Columbia               | rwanda                                       | 9206       |
| Duque de Caxias                  | RJ                             | rwanda                                       | 75-383     |
| Poitiers                         | PO                             | rwanda                                       | 0709OS     |
| Graven Grez-Doiceau              | WB                             | rwanda                                       | 8855       |
| Piracicaba                       | SP                             | rwanda                                       | 11465      |
| Olinda                           | PE                             | rwanda                                       | 43-034     |
| Feira de Santana                 | Bahia                          | rwanda                                       | 91719      |
| Lincoln                          | Nebraska                       | rwanda                                       | 6319       |
| Vienna                           | Vienna                         | rwanda                                       | 34899      |
| Saint Paul                       | Minnesota                      | russian federation                           | 97718      |
| Anjou                            | QC                             | russian federation                           | 96-652     |
| Bozeman                          | Montana                        | russian federation                           | 849579     |
| Cork                             | M                              | russian federation                           | 92648-094  |
| San Miguel                       | SJ                             | russian federation                           | 6714ZY     |
| Veere                            | Zeeland                        | russian federation                           | 18466      |
| Ottawa                           | Ontario                        | russian federation                           | 4607       |
| Dublin                           | L                              | russian federation                           | 436250     |
| Gasteiz                          | Euskadi                        | russian federation                           | 212207     |
| Waitakere                        | North Island                   | romania                                      | M0 7XK     |
| Sint-Gillis                      | BU                             | romania                                      | 9669       |
| Santa Cruz de Tenerife           | Canarias                       | romania                                      | 61708      |
| Vienna                           | Wie                            | romania                                      | 91-860     |
| Ham-sur-Heure                    | HE                             | romania                                      | 26129      |
| Cornwall                         | Ontario                        | romania                                      | 8346       |
| Cavallino                        | PUG                            | reunion                                      | 61500      |
| Sydney                           | New South Wales                | reunion                                      | 66-190     |
| Jundiaí                          | São Paulo                      | reunion                                      | 9378       |
| Ribeirão das Neves               | Minas Gerais                   | reunion                                      | B5A 7A7    |
| Corbara                          | Campania                       | reunion                                      | 21209      |
| Lestizza                         | Friuli-Venezia Giulia          | reunion                                      | 379902     |
| Berlin                           | Berlin                         | reunion                                      | H1G 6A4    |
| Alajuela                         | Alajuela                       | reunion                                      | 21806      |
| Santa Coloma de Gramenet         | Catalunya                      | reunion                                      | 57358      |
| Quimper                          | BR                             | qatar                                        | V8Z 1W9    |
| Castanhal                        | Pará                           | qatar                                        | 36957      |
| Juneau                           | AK                             | qatar                                        | 99782      |
| Hearst                           | Ontario                        | qatar                                        | 80192-824  |
| Herne                            | North Rhine-Westphalia         | qatar                                        | 15709-293  |
| Murcia                           | Murcia                         | qatar                                        | 5242       |
| Berlin                           | BE                             | qatar                                        | 7383       |
| Minna                            | NI                             | qatar                                        | 63657-193  |
| Mobile                           | AL                             | qatar                                        | 05217      |
| Ulloa (Barrial)                  | H                              | qatar                                        | 43969      |
| Galway                           | C                              | qatar                                        | 518259     |
| Starachowice                     | SK                             | puerto rico                                  | R2C 0VL    |
| Spy                              | Namen                          | puerto rico                                  | 40887      |
| Nicoya                           | G                              | puerto rico                                  | 7165       |
| Périgueux                        | AQ                             | puerto rico                                  | 5507       |
| Cork                             | Munster                        | puerto rico                                  | 60192      |
| Koszalin                         | ZP                             | puerto rico                                  | 71021      |
| Topeka                           | KS                             | puerto rico                                  | 375264     |
| Laren                            | N.                             | puerto rico                                  | 32182      |
| Nijmegen                         | Gelderland                     | portugal                                     | 51097-836  |
| Sete Lagoas                      | MG                             | portugal                                     | R31 7WA    |
| Winterswijk                      | Gelderland                     | portugal                                     | 61529-880  |
| Chapra                           | BR                             | portugal                                     | 50664      |
| Concepción                       | San José                       | portugal                                     | 93809      |
| Massarosa                        | Toscana                        | portugal                                     | 05-337     |
| Beersel                          | Vlaams-Brabant                 | poland                                       | 5250       |
| Smithers                         | BC                             | poland                                       | 21705      |
| Vienna                           | Vienna                         | poland                                       | 8599UH     |
| Delhi                            | DL                             | poland                                       | 5021       |
| Franeker                         | Friesland                      | poland                                       | 86832      |
| Burns Lake                       | British Columbia               | poland                                       | 86-477     |
| Temuka                           | SI                             | poland                                       | C6S 7P1    |
| Cisterna di Latina               | LAZ                            | pitcairn islands                             | 204004     |
| Itterbeek                        | VB                             | pitcairn islands                             | 36905      |
| Vienna                           | Vienna                         | pitcairn islands                             | 61174      |
| Sterling Heights                 | Michigan                       | pitcairn islands                             | 37275      |
| Naperville                       | Illinois                       | pitcairn islands                             | 552800     |
| Lakewood                         | Colorado                       | pitcairn islands                             | 23445      |
| Pilibhit                         | UP                             | pitcairn islands                             | 981505     |
| Bremerhaven                      | HB                             | pitcairn islands                             | 16-314     |
| Warrnambool                      | VIC                            | philippines                                  | 20124      |
| Mildura                          | VIC                            | philippines                                  | T0W 4L8    |
| Moe                              | VIC                            | philippines                                  | 563353     |
| Vottem                           | LU                             | philippines                                  | 44114      |
| Seattle                          | WA                             | philippines                                  | S1Z 7Y8    |
| Jelenia Góra                     | DS                             | philippines                                  | 64196      |
| Calgary                          | Alberta                        | philippines                                  | 355980     |
| Antakya                          | Hat                            | philippines                                  | 9410       |
| Bersillies-l'Abbaye              | HE                             | philippines                                  | 51606      |
| Bassiano                         | LAZ                            | philippines                                  | 2580GB     |
| Moose Jaw                        | Saskatchewan                   | philippines                                  | 09236      |
| Auburn                           | ME                             | peru                                         | 901572     |
| Gravataí                         | RS                             | peru                                         | 38348      |
| Grave                            | Noord Brabant                  | peru                                         | 5109       |
| Fréjus                           | Provence-Alpes-Côte d'Azur     | peru                                         | 0023LW     |
| Lugo                             | GA                             | peru                                         | 1818MW     |
| Dallas                           | Texas                          | peru                                         | 43681      |
| Helmond                          | Noord Brabant                  | peru                                         | 7574       |
| Nicoya                           | Guanacaste                     | peru                                         | 486465     |
| Fishguard                        | PE                             | peru                                         | 7642       |
| Terrance                         | British Columbia               | peru                                         | 462911     |
| Vienna                           | Vienna                         | peru                                         | 790945     |
| Belfast                          | U                              | paraguay                                     | 71545      |
| Satara                           | Maharastra                     | paraguay                                     | 46780      |
| Godhra                           | GJ                             | paraguay                                     | 6339       |
| Vaux-sur-Sure                    | Luxemburg                      | paraguay                                     | 48-789     |
| Parramatta                       | New South Wales                | paraguay                                     | 7610       |
| San Mauro Marchesato             | CAL                            | paraguay                                     | 54332      |
| Mantova                          | Lombardia                      | papua new guinea                             | 14668      |
| Cumberland                       | Ontario                        | papua new guinea                             | 53594      |
| Labuissi?re                      | HE                             | papua new guinea                             | 2011       |
| Hearst                           | Ontario                        | papua new guinea                             | 87987      |
| North Shore                      | NI                             | papua new guinea                             | 13920      |
| Frederick                        | MD                             | papua new guinea                             | 22897      |
| Bünyan                           | Kay                            | papua new guinea                             | 64111      |
| Burnpur                          | West Bengal                    | papua new guinea                             | 4041       |
| Hachy                            | Luxemburg                      | panama                                       | 57945      |
| Cuceglio                         | PIE                            | panama                                       | 23700      |
| Meridian                         | Idaho                          | panama                                       | 7148       |
| K?z?lcahamam                     | Ank                            | panama                                       | 20780      |
| Douai                            | Nord-Pas-de-Calais             | panama                                       | 760617     |
| Istanbul                         | Istanbul                       | panama                                       | 93643-475  |
| Vienna                           | Wie                            | panama                                       | 4904SN     |
| La Baie                          | Quebec                         | panama                                       | 0308IO     |
| Ciudad Real                      | Castilla - La Mancha           | panama                                       | Z0 7KP     |
| Compiègne                        | Picardie                       | panama                                       | 8568DI     |
| Vienna                           | Wie                            | panama                                       | 643641     |
| Dolgellau                        | Merionethshire                 | palestine, state of                          | 77207      |
| Monticelli d'Ongina              | Emilia-Romagna                 | palestine, state of                          | 2933       |
| Kingston                         | Ontario                        | palestine, state of                          | 90688      |
| Boston                           | Massachusetts                  | palestine, state of                          | 41-081     |
| Worcester                        | MA                             | palestine, state of                          | 929962     |
| Ulhasnagar                       | MH                             | palau                                        | 64160      |
| Kaduna                           | KD                             | palau                                        | CH95 0KZ   |
| Berlin                           | Berlin                         | palau                                        | 19859      |
| Piracicaba                       | São Paulo                      | palau                                        | 568614     |
| Salon-de-Provence                | Provence-Alpes-Côte d'Azur     | palau                                        | 99-529     |
| Alviano                          | Umbria                         | palau                                        | 54866-122  |
| Matagami                         | QC                             | palau                                        | 6005       |
| Columbus                         | Georgia                        | palau                                        | 5142       |
| Lower Hutt                       | NI                             | palau                                        | 94650      |
| Brisbane                         | QLD                            | palau                                        | 16934      |
| Damoh                            | MP                             | palau                                        | 25895      |
| Freiberg                         | SN                             | pakistan                                     | 6973       |
| San Isidro                       | San José                       | pakistan                                     | 64879      |
| Götzis                           | Vorarlberg                     | pakistan                                     | B8Z 8Y3    |
| San Rafael                       | San José                       | pakistan                                     | 9439       |
| Turrialba                        | C                              | pakistan                                     | 30909      |
| Konin                            | Wielkopolskie                  | pakistan                                     | 7464       |
| Córdoba                          | AN                             | pakistan                                     | G6R 6A0    |
| Fontanafredda                    | Friuli-Venezia Giulia          | oman                                         | 05-890     |
| Biloxi                           | MS                             | oman                                         | 368873     |
| Napier                           | North Island                   | oman                                         | 602438     |
| Campos dos Goytacazes            | RJ                             | oman                                         | 81726      |
| Sagamu                           | OG                             | oman                                         | 05-905     |
| Berlin                           | BE                             | oman                                         | 61010      |
| Worcester                        | MA                             | oman                                         | 7690KU     |
| Galway                           | C                              | oman                                         | 5204AB     |
| Spijkenisse                      | Z.                             | oman                                         | 4759BU     |
| Lincoln                          | Nebraska                       | oman                                         | 39650      |
| Germersheim                      | RP                             | oman                                         | 40402      |
| Pastena                          | Lazio                          | oman                                         | 6020       |
| Parramatta                       | New South Wales                | norway                                       | 5769       |
| Maranguape                       | Ceará                          | norway                                       | 11206      |
| Kano                             | Kano                           | norway                                       | 61092      |
| Turrialba                        | Cartago                        | norway                                       | 70847      |
| Udaipur                          | RJ                             | norway                                       | 26-797     |
| Caruaru                          | PE                             | norway                                       | 7427       |
| Dunedin                          | South Island                   | norway                                       | 19402      |
| Huntly                           | North Island                   | northern mariana islands                     | G91 0BF    |
| Duluth                           | MN                             | northern mariana islands                     | 586999     |
| Kaduna                           | Kaduna                         | northern mariana islands                     | 8730       |
| Chesterfield                     | DB                             | northern mariana islands                     | 51317      |
| Silifke                          | Mersin                         | northern mariana islands                     | NQ87 4YA   |
| Cuenca                           | CM                             | northern mariana islands                     | T83 5DE    |
| Borsbeek                         | Antwerpen                      | northern mariana islands                     | 77013      |
| Ganshoren                        | BU                             | northern mariana islands                     | 25942      |
| Vienna                           | Vienna                         | norfolk island                               | 07996      |
| Paulista                         | PE                             | norfolk island                               | 8748       |
| Hilversum                        | N.                             | norfolk island                               | 32648      |
| Gujranwala                       | PB                             | norfolk island                               | 10470      |
| Dar?ca                           | Koc                            | norfolk island                               | 7294WJ     |
| Frankfort                        | KY                             | norfolk island                               | 3394       |
| Portland                         | ME                             | norfolk island                               | 11712      |
| Sandy                            | UT                             | norfolk island                               | 92362      |
| Lagos                            | LA                             | norfolk island                               | 60-753     |
| Bergen op Zoom                   | Noord Brabant                  | norfolk island                               | 10802      |
| Baili?vre                        | Henegouwen                     | norfolk island                               | 583590     |
| Getafe                           | Madrid                         | norfolk island                               | 31611      |
| Alajuela                         | Alajuela                       | norfolk island                               | 71776      |
| Hamburg                          | Hamburg                        | niue                                         | 8573       |
| Wallasey                         | CH                             | niue                                         | 11716      |
| León                             | Castilla y León                | niue                                         | 1024       |
| Falisolle                        | NA                             | niue                                         | 01182      |
| Jerez de la Frontera             | AN                             | niue                                         | 57-403     |
